User ID,What is your gender?,What is your age group?,What is your highest level of education?,Which region do you live in?,Do you live in an urban or rural area?,What is your employment status?,What is your monthly income?,Do you enjoy music with strong bass frequencies?,Do you prefer vocals or instrumental music?,What time of day do you usually listen to music?,What is the most important factor in your music preference?,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Rating for Bass Song 1: Bad Guy by Billie Eilish,Rating for Bass Song 2: God's plan by Drake,Rating for Bass Song 3: Bangarang by Skrillex,Rating for Midrange Song 1: Rolling in the deep by Adele,Rating for Midrange Song 2: Yellow by Coldplay,Rating for Midrange Song 3: Shape of you by Ed Sheeran,Rating for Treble Song 1: Symphony No. 40 by Mozart,Rating for Treble Song 2: Love Story by Taylor Swift,Rating for Treble Song 3: Billie Jean by Michael Jackson
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,2,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,1,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,"$5,000+",No,Instrumental,Evening,5,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,"$5,000+",No,Instrumental,Evening,5,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,"$5,000+",No,Instrumental,Evening,3,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,"$5,000+",No,Instrumental,Evening,3,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,"$5,000+",No,Instrumental,Evening,4,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Female,25-34,Secondary,Asia,Urban,Retired,"$5,000+",Yes,Both,Night,2,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,3,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,45-54,Secondary,South America,Urban,Retired,"$3,000-$5,000",Yes,Vocals,Evening,2,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Male,35-44,Bachelor's,Asia,Rural,Retired,"$5,000+",Yes,Vocals,Night,5,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,4,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,35-44,Bachelor's,South America,Urban,Student,"$5,000+",No,Instrumental,Evening,4,20,14,14,38,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Female,45-54,Master's,Africa,Urban,Student,"$3,000+",No,Instrumental,Evening,Beats,20,14,14,38,8
543326084,Female,45-54,Doctorate,Asia,Urban,Student,"$3,000+",No,Instrumental,Evening,Beats,20,14,14,38,8
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,Other,20,14,14,38,8
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,Other,20,14,14,38,8
543326084,Мужской,35-44,Бакалавр,Европа,Город,Студент,$1000-$3000,Да,Инструментальная,Вечер,Помогает сосредоточиться,15,22,27,10,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Female,45-54,Master's,Africa,Rural,Retired,Prefer not to say,Neutral,Both,Night,Other,21,21,22,14,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Предпочитаю не указывать,55+,Докторантура,Австралия/Океания,Сельская местность,На пенсии,Предпочитаю не указывать,Нейтрально,Обе,Ночь,Другое,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Prefer not to say,55+,Doctorate,Australia/Oceania,Rural,Retired,Prefer not to say,Neutral,Both,Night,Other,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Предпочитаю не указывать,35-44,Бакалавр,Азия,Город,Студент,$3000+,Нет,Инструментальная,Вечер,Помогает сосредоточиться,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Предпочитаю не указывать,55+,Докторантура,Австралия/Океания,Сельская местность,На пенсии,Предпочитаю не указывать,Нейтрально,Обе,Ночь,Другое,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Предпочитаю не указывать,55+,Докторантура,Австралия/Океания,Сельская местность,На пенсии,$3000+,Нет,Обе,Ночь,Другое,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543326084,Предпочитаю не указывать,55+,Докторантура,Австралия/Океания,Сельская местность,На пенсии,Предпочитаю не указывать,Нейтрально,Обе,Ночь,Другое,20,24,24,8,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
